PCA,Camada oculta,LBFGS,VC,Media,SGD,VC,Media,ADAM,VC,Media
91,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
92,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
93,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
94,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
95,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
96,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
97,13,,0.45999999999999996,0.51724137931034486,,0.5,0.5,,0.49333333333333335,0.53448275862068961
98,14,,0.5,0.48275862068965519,,0.51666666666666672,0.5,,0.48333333333333328,0.46551724137931033
99,14,,0.5,0.48275862068965519,,0.51666666666666672,0.5,,0.48333333333333328,0.46551724137931033
100,14,,0.5,0.48275862068965519,,0.51666666666666672,0.5,,0.48333333333333328,0.46551724137931033
